marker_index	num_CpG_sites	sites_methylation_status
106	9	000000000
106	6	111011
106	6	111111
106	3	111
106	5	11111
106	4	1111
106	4	1111
106	5	11111
106	4	1111
106	5	11111
107	1	1
107	1	1
107	7	1111111
107	5	11111
107	4	1111
107	3	111
108	6	011111
108	6	111111
108	9	001111111
108	12	111111111111
108	14	11111111111111
108	5	00000
108	9	111111011
108	6	111111
108	10	1111111111
108	6	111111
108	8	11111111
109	10	0000000000
109	7	0000000
109	3	000
110	7	0000000
110	10	0000000000
110	13	0000000000000
110	13	0000000000000
110	12	000000000000
110	5	10110
110	9	000010001
715	4	1011
715	5	11111
715	6	111111
715	5	01111
715	7	1111011
716	1	1
716	6	111111
716	6	111111
716	5	11111
717	5	11111
717	6	111111
717	8	10111111
717	8	11111111
717	8	11111111
717	7	0111011
717	7	1111111
717	10	1111111101
717	8	11011011
718	3	111
718	3	111
718	4	1111
718	4	1111
718	7	1111111
718	5	11111
718	5	11111
718	3	011
718	3	011
719	3	011
719	7	1110111
719	6	111111
719	11	11111111111
719	13	1111111111111
719	6	000000
719	9	111111111
719	10	1111111111
719	12	111110111111
719	12	111110111111
719	13	1110111111110
719	12	000000000000
720	4	0000
720	8	11111111
720	5	01011
720	6	111010
721	9	111111111
721	9	111111111
721	11	11111110111
721	11	11111111111
721	10	1111101111
721	3	111
721	3	111
722	4	0000
722	4	0000
722	4	0000
722	5	10001
722	4	0101
722	6	101011
722	4	0110
722	4	0110
722	5	11111
722	5	11111
722	3	111
722	3	111
722	5	11111
722	5	01011
722	4	1011
722	3	000
722	3	111
723	4	0000
723	4	1110
723	3	110
723	4	1111
723	4	1000
723	4	1111
724	7	1111101
724	4	1101
725	1	1
725	7	1111111
725	3	111
725	3	111
725	3	111
725	4	1111
725	4	0000
725	4	1111
725	6	101111
725	6	111100
725	7	0000000
726	1	0
726	1	0
726	5	11111
726	11	11111111111
726	7	0000000
726	4	1011
726	5	10111
726	6	001111
726	4	1011
726	4	1011
727	5	11111
727	6	111111
727	3	011
727	3	011
727	4	1110
728	8	00000000
728	3	000
728	3	111
729	7	0111111
729	7	1111111
729	6	111111
729	3	111
730	3	000
730	4	1111
730	4	0000
730	9	111110111
730	5	00000
730	5	10110
731	4	1011
732	5	00000
732	3	110
732	4	1111
732	4	1111
732	4	1111
732	4	1111
732	4	1111
732	4	0111
732	3	111
732	4	1111
732	4	1111
732	3	110
732	3	111
732	3	110
733	8	00000000
733	8	00000000
733	6	111111
733	4	0000
733	4	1111
733	4	1111
734	3	110
734	5	00000
734	5	00000
734	4	1111
734	4	1111
734	6	111111
734	4	0000
734	5	11111
734	4	0000
734	5	11111
734	3	000
734	5	11101
734	3	011
734	4	1100
734	4	0111
734	3	111
735	5	11101
735	7	1110111
735	4	0000
735	6	111111
735	4	1111
735	5	11110
735	3	000
735	5	11100
735	6	110000
735	3	000
736	7	1111111
736	7	1111111
736	6	111111
736	6	111110
736	5	11110
736	3	111
737	10	1111111011
737	6	000000
737	6	111111
737	4	0000
738	1	0
738	4	1011
738	6	011111
738	3	101
738	6	111111
738	6	111111
738	4	0000
738	8	01110111
738	4	1111
738	3	111
739	1	0
739	5	11001
739	7	1011111
739	7	1111111
739	6	111101
739	6	111111
739	5	11101
740	5	01011
740	9	101101111
740	10	0110111100
740	7	1111111
740	3	000
741	1	1
741	5	00001
741	6	111111
741	5	11111
741	3	111
741	3	111
741	5	11001
741	4	0011
741	4	1011
741	4	1111
742	6	111111
742	4	1011
742	3	011
742	7	1111110
742	4	0000
742	4	1111
743	4	1110
743	7	1111110
743	7	1111111
743	4	1101
743	4	1100
743	4	1100
743	3	111
744	3	101
744	5	11110
744	7	1111011
744	7	1111111
744	7	1101111
744	7	1111111
744	5	11111
744	4	0000
744	4	1100
745	5	00000
745	7	1111111
745	7	1111111
745	8	11111111
745	7	1111111
745	4	0000
745	5	00000
745	8	11110111
745	7	1111111
745	5	00000
746	8	11111111
746	8	11111111
746	8	11111111
746	6	111111
746	6	111111
746	8	11111111
746	7	1111111
746	6	111111
746	4	1111
746	4	1111
746	4	0111
747	1	0
747	1	0
747	6	111000
747	7	1111111
748	4	1111
748	5	11111
748	6	111111
748	6	111111
748	4	1110
748	3	111
748	3	110
748	3	111
748	7	1111011
748	7	1111111
749	1	1
749	5	11111
749	5	11111
749	4	1011
749	5	10111
749	7	1111111
749	6	111110
749	7	1111111
749	7	1111111
749	6	111111
749	5	11101
749	5	11111
749	4	1111
749	4	0000
749	3	101
749	3	111
750	4	0111
750	8	10111111
750	6	111111
750	5	11111
750	4	1111
750	3	111
751	5	11111
751	3	000
751	7	0111111
751	7	1111111
751	7	1111111
751	7	0011111
751	6	111111
751	6	111111
751	6	111111
751	6	111111
751	6	111111
751	6	111111
752	6	010011
752	4	1011
752	3	111
752	7	1111111
752	4	1111
753	2	11
753	5	11111
753	3	111
753	4	1111
753	3	111
754	1	1
754	1	1
754	1	1
754	1	1
754	1	1
754	1	1
754	4	1111
754	4	1111
754	4	0111
754	4	0111
754	3	111
754	4	1111
754	3	111
754	5	11111
754	4	1111
755	2	11
755	2	11
755	7	0111010
756	6	111111
756	6	111111
756	4	1111
756	5	11111
756	6	111111
756	6	111111
756	6	111111
756	6	111100
756	5	11111
756	5	10001
756	5	11000
756	6	110000
756	5	11111
756	6	111111
756	4	0111
756	7	1111111
756	5	10101
756	5	11111
756	6	111111
757	1	1
757	1	1
757	1	1
757	1	1
757	8	11111111
757	5	11111
757	4	1111
757	4	1111
757	3	111
758	4	1111
758	5	11111
758	7	1111111
758	5	00000
758	10	1111111111
758	10	1111111111
758	9	111111111
758	12	111111111111
758	3	011
758	3	111
759	1	1
759	5	11111
759	4	1111
759	4	1111
759	5	11111
759	5	11111
759	7	1011111
759	7	1111111
759	3	111
759	3	111
760	5	11111
760	3	111
760	5	11111
760	5	11111
760	5	11111
760	4	1111
761	1	0
761	1	0
761	8	00010010
761	6	110000
761	11	00000000000
761	11	00000000000
761	6	110010
761	7	0000001
761	5	00011
761	4	0000
762	12	000000000000
762	13	0000000000000
762	9	001000000
763	1	0
763	6	110111
763	4	1111
763	4	1111
764	4	1101
764	5	11011
764	5	11111
764	5	10111
764	6	101111
764	6	111111
764	8	11111111
764	6	111111
764	6	000000
764	3	111
764	3	111
765	5	01000
765	9	111111101
765	6	000000
765	6	101011
765	5	00000
765	6	111111
765	6	111111
765	5	11110
765	5	11111
765	3	111
765	3	111
765	3	111
765	3	110
766	2	00
766	2	00
766	7	1011111
766	6	111110
766	6	110111
767	6	100000
767	5	00000
767	5	00000
767	5	00000
767	9	000010000
767	12	001000000000
767	12	000000000000
767	10	0100000000
767	10	1111101111
767	4	0000
767	10	0000000000
767	15	000000000000000
767	11	00000101000
767	8	00000000
767	7	1000000
768	2	00
768	2	00
768	10	0000000000
768	8	00000000
768	14	00000000000000
768	12	000000000000
768	11	00000000000
768	10	0000000000
768	11	00000000000
768	7	0000000
769	12	000000000000
769	7	0000000
769	3	111
769	3	001
770	10	0000000001
770	13	0000000000000
770	16	0000000000000000
770	5	00100
770	5	00000
770	5	00000
770	5	00000
770	7	0000000
770	4	0010
770	7	0000000
770	8	00000000
770	7	0000000
770	8	00000000
770	6	000000
770	7	1000000
771	1	1
771	1	1
771	1	1
771	10	0000000000
771	11	00000000000
771	10	0000000000
772	6	000000
772	6	000000
772	13	0000000000000
772	15	000000000000100
772	15	000000000000100
772	20	00000000000000000000
772	12	100000000000
772	9	000000000
772	13	0000100000000
772	12	000100000000
772	7	1000000
772	7	0000000
772	7	0000001
772	11	00000000000
772	9	000001000
772	9	000001100
772	7	0000000
772	8	00000111
772	5	11111
772	4	0000
773	1	1
773	1	1
773	1	1
773	5	10111
773	3	111
774	1	0
774	8	10011111
774	8	11111111
774	5	11110
774	5	11111
774	6	111011
774	5	11110
774	5	11110
774	6	111111
774	11	11011111111
774	10	1011111111
774	10	1111111111
774	11	01111111110
774	8	11111111
774	5	11100
774	3	100
774	3	111
774	3	110
775	3	000
775	7	0010011
775	10	0000000000
775	10	0000000000
775	7	0000000
775	7	0000000
777	8	11111111
777	6	111111
777	7	1111111
777	5	11111
777	5	11111
777	5	11110
778	1	1
778	1	1
778	4	1111
778	4	1100
778	5	11001
778	4	0000
778	6	111111
778	6	111111
778	6	111111
778	6	111111
778	6	111111
778	4	1111
779	6	000111
779	8	11111111
779	8	11111111
779	7	1111111
779	7	1111111
779	7	1111111
779	4	1111
779	3	000
779	4	1111
779	3	110
780	6	110111
780	3	011
780	7	1111101
780	5	10111
780	6	101110
780	7	1111110
780	5	11111
780	5	11000
780	5	11101
780	5	11111
780	5	11000
780	5	11101
780	3	111
781	2	00
781	2	00
781	2	00
781	6	111101
781	3	111
782	1	0
782	5	11011
783	3	111
783	7	1111111
783	8	11011110
783	6	000000
783	6	111111
783	5	00000
783	6	111111
783	4	1111
783	6	111110
783	4	1111
783	3	111
784	5	01111
784	5	11111
784	5	11100
784	3	111
784	3	010
785	3	111
785	5	01111
785	6	111111
785	7	1111111
785	5	11111
785	3	110
786	1	1
786	1	1
786	10	1111111111
786	10	1111111111
786	3	000
786	5	11111
786	4	1101
786	4	1111
786	5	11111
786	5	11111
786	6	111111
787	3	111
787	12	111111011111
787	13	1111110111111
787	6	111101
787	7	1111111
787	6	111111
788	8	01111111
788	7	1111111
788	9	111111111
788	9	111111110
788	6	111111
788	4	0000
788	4	1011
789	5	11111
789	6	111111
789	6	111111
789	3	000
790	5	11111
790	4	1000
790	3	111
790	3	111
790	3	110
790	5	11101
790	5	11001
790	8	11111111
790	10	1111111111
790	9	111111111
790	5	11111
790	6	111111
790	5	11111
790	15	111111111111101
790	17	11111111111110111
790	18	111111111111111111
790	18	111111111111101110
790	17	11111111101111111
790	15	111111111111111
790	15	111111111101110
790	12	111111111111
790	8	11111111
790	3	000
791	4	0000
791	5	00001
791	4	1111
791	3	011
791	4	0111
791	4	1111
791	5	11111
791	3	000
791	5	11111
791	4	0111
791	4	1111
791	4	1111
791	5	11111
791	6	111111
791	7	0111111
791	10	1111111111
791	6	111111
791	5	11111
792	6	111101
792	6	111111
792	3	000
792	5	10111
792	5	01111
792	5	01111
792	4	0001
792	4	1111
792	4	1111
792	5	11111
793	2	11
793	5	11111
793	5	00011
794	6	111111
794	6	011101
794	6	011111
795	1	1
795	6	111111
795	6	111111
795	4	1111
795	4	1111
795	4	1111
795	4	0000
795	6	111111
796	7	1111111
796	7	0111110
796	6	011101
796	8	01110111
797	4	1001
797	8	11111111
797	7	1111111
797	10	1111011111
797	6	111000
797	8	11111111
797	7	1011111
798	1	0
798	1	0
798	5	01111
798	4	1100
798	3	000
798	3	111
798	8	00000000
798	9	111111111
798	3	110
799	1	1
799	7	1111111
799	8	11111111
799	7	0111111
800	7	0000111
800	3	000
800	5	11111
800	5	11101
800	7	1101001
800	3	000
800	6	111000
800	7	1110000
800	4	0111
800	4	1011
800	4	0111
800	4	1111
800	4	0000
801	3	111
801	3	101
801	3	011
801	5	11111
801	6	111111
801	4	1111
801	6	111111
802	4	0111
802	4	1111
802	4	1111
802	4	1000
802	3	001
802	4	0011
802	3	111
802	3	111
802	4	1011
802	5	01101
802	4	1111
802	6	111111
802	7	1111011
802	7	1111111
802	8	11111011
802	8	11111011
802	8	11111111
802	8	11011111
802	8	11111111
802	5	00000
802	4	1111
803	6	111101
803	6	000000
803	4	0000
803	7	1101111
803	8	11011111
803	7	1101111
803	3	000
803	4	1111
804	10	1111111111
804	9	111111011
804	8	11101111
804	8	00110111
804	8	00110111
804	4	1000
805	9	101111111
805	7	1111111
805	9	000000000
805	7	1111111
805	4	0000
805	7	0111111
806	1	1
806	1	1
806	1	1
806	5	11111
806	6	111111
806	5	01111
806	6	111101
806	5	11111
806	6	111111
806	6	110111
806	6	011111
806	6	111111
807	18	000000000000000000
807	8	00000000
807	3	110
807	4	0000
807	13	0000000000000
807	17	00000000000000000
807	9	111111110
807	7	0111000
807	14	00000000101100
807	14	00101100001010
807	11	00000000000
807	20	10011000000010001011
807	15	000000000000001
807	12	000000000100
807	9	000000000
807	16	0000000000000000
807	5	01001
807	10	0000000000
807	8	00000000
807	11	00000000000
807	3	000
808	1	1
808	3	110
808	3	100
808	3	100
808	3	000
808	4	0000
808	4	1111
808	4	1111
809	5	11101
809	5	00000
809	5	00001
809	3	000
809	4	1110
810	8	10101111
810	4	1111
810	4	1111
810	4	1110
810	3	111
810	3	111
811	5	11111
811	6	111111
811	4	1111
811	3	111
812	6	101011
812	5	00000
812	6	100000
812	6	000000
812	7	1100111
812	6	110111
813	5	11111
813	5	11111
813	8	11111111
813	8	11111011
813	8	11111111
813	7	1110111
813	4	1111
813	6	111110
813	4	1111
813	3	111
813	3	111
814	3	000
814	6	000000
814	8	10111111
814	5	11111
814	6	111111
814	6	110111
814	5	01111
814	3	000
815	6	110011
815	7	1111011
815	7	1111011
815	7	0000000
815	4	0011
815	4	0000
815	4	0111
816	8	11111111
816	5	00000
816	6	111111
816	5	11111
816	5	10011
816	5	11111
816	6	111001
816	5	10110
816	5	11101
816	5	11111
816	4	1101
816	4	0110
816	3	001
817	6	111111
817	6	011111
817	6	111111
817	4	0000
817	6	111111
817	5	11100
817	5	01111
817	5	00000
817	4	0010
817	3	111
818	5	01100
818	3	000
818	3	000
819	3	111
819	3	111
819	5	11111
819	5	01111
819	4	1111
819	4	1011
820	3	000
820	6	000000
821	1	1
821	7	1101111
821	6	101111
821	5	11111
821	9	111111101
821	8	11111111
821	7	1111101
821	7	0000001
822	1	1
822	5	11111
822	3	000
822	3	111
822	5	11111
822	4	1111
822	4	1011
822	4	1111
822	7	1111111
822	7	1111111
822	6	111111
822	5	11111
822	5	11111
822	3	111
822	3	111
822	3	111
822	3	111
822	3	111
822	3	111
822	3	111
822	3	000
823	4	1001
823	4	1001
823	4	1111
823	4	1111
823	4	1111
824	1	0
824	8	11111111
824	8	00011111
824	10	0001110011
824	6	000000
825	3	111
825	4	1101
825	3	000
825	7	1111111
825	5	11111
826	7	1101111
826	8	11110111
826	4	0100
826	4	0100
826	6	111111
826	6	111111
826	5	00000
826	3	110
827	6	111111
827	3	000
827	3	111
827	3	111
827	6	000111
827	5	11111
827	8	11111111
827	8	11111101
827	8	11110111
827	3	000
827	4	0111
828	4	0000
828	4	1110
828	4	1110
828	5	11111
828	5	11111
828	6	111111
828	4	1111
828	6	111111
829	3	111
829	5	10111
829	5	10111
829	9	111100001
829	6	000000
830	3	100
830	3	100
830	3	100
830	4	0011
830	3	000
830	11	11111110110
830	10	0000000000
830	7	1000000
831	3	101
831	3	111
831	3	111
832	7	1111111
832	9	111111111
832	4	0101
832	4	1111
832	5	11001
832	4	0000
834	3	111
834	4	1111
834	6	111001
834	7	1111111
834	9	110011111
834	9	111111001
834	9	111111001
834	9	111111111
834	5	11100
834	4	0111
835	3	111
835	4	1111
835	4	1110
835	6	101111
835	6	111110
835	4	0000
835	7	1111111
835	5	11111
836	4	1111
836	7	0111111
836	6	111111
836	9	111111111
836	10	1111111111
836	4	0000
836	3	111
837	1	1
837	6	111110
837	3	000
837	7	0111111
837	6	111111
837	5	11001
838	8	11111111
838	9	111111110
838	9	111111111
838	4	0000
838	4	0000
838	6	111111
838	3	000
839	10	1111111110
839	4	1110
839	7	0000000
839	5	10100
839	5	11101
839	7	1110100
839	7	1110100
839	11	11101111110
839	10	1111111100
839	9	011101111
839	9	101111110
839	8	11011111
839	5	11001
840	8	10000010
840	6	011001
840	6	110111
840	4	0000
840	6	111011
840	4	1111
840	4	1110
841	3	000
841	6	111110
842	1	1
842	8	11111111
842	7	1111111
842	6	111111
843	5	11111
843	8	11100111
843	5	11000
844	5	00000
844	8	11111111
844	7	1111111
844	5	10111
844	5	10111
845	4	0011
845	5	10000
845	3	100
845	5	10110
845	9	011101011
845	8	00001001
845	6	001001
846	1	1
846	5	11011
846	5	01101
846	3	100
846	5	11011
846	3	100
846	4	1000
846	4	1111
847	4	0101
848	1	0
848	1	0
848	11	11111111111
