markerName	methState
97	1010
97	1111
97	1111
97	1111
97	1111
97	1111
97	1101
97	1101
97	1111
97	0111
97	1111
97	1101
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1011
97	1111
97	1111
97	1111
97	1111
97	1011
97	1111
97	1111
97	1110
97	1111
97	1111
97	1101
97	1111
97	1110
97	1111
97	1110
97	1111
97	1111
97	1111
97	1110
97	111
97	1010
97	1111
97	1111
97	1111
97	1101
97	1101
97	1111
97	1111
97	1111
97	0111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1110
97	1111
97	1111
97	1111
97	1111
97	1111
97	0111
97	1011
97	1111
97	1111
97	1110
97	1111
97	0111
97	1110
97	1111
97	1011
97	0110
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	0111
97	1111
97	1011
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1011
97	1011
97	1011
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1101
97	0010
97	1111
97	1011
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1110
97	1111
97	0111
97	1111
97	1110
97	1110
97	0111
97	1111
97	1110
97	1101
97	0111
97	1101
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1110
97	1111
97	0111
97	1111
97	1111
97	0111
97	1111
97	1111
97	1101
97	1111
97	1110
97	1111
97	1111
97	1111
97	1101
97	1111
97	1101
97	1001
97	1111
97	0110
97	1111
97	0010
97	0011
97	1111
97	1111
97	1101
97	1111
97	1111
97	1111
97	1010
97	1110
97	1011
97	1111
97	0011
97	1111
97	1011
97	1111
97	1111
97	1011
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
97	1101
97	1111
97	1011
97	1111
97	1111
97	1110
97	1111
97	1111
97	1110
97	1110
97	1111
97	1111
97	1111
97	0111
97	1011
97	1111
97	1011
97	1111
97	1101
97	1110
97	1111
97	1011
97	1101
97	1100
97	1111
97	1110
97	1111
97	1111
97	1011
97	1111
97	1111
97	1101
97	1111
97	0111
97	1111
97	1111
97	1101
97	1111
97	1111
97	1111
97	1111
97	1111
97	1111
108	111111
108	111111
108	111111
108	111111
108	111111
108	111111
108	111111
108	111111
108	111011
108	111111
108	110111
108	111111
108	111111
108	111111
108	111111
108	111111
108	111111
108	111111
108	111111
108	111111
108	111111
108	111111
108	111111
108	101111
108	111111
108	111111
108	111111
108	111111
108	111110
108	111111
216	11111111110
216	11111011111
216	11111111111
216	11111111111
216	11111001111
216	11111110111
216	11110111011
216	10111111111
216	11111111101
216	11111111111
216	10110111111
216	11111111110
216	10110111111
216	11111111111
216	11111110111
216	10111111111
216	11110111111
216	11011110111
216	11011111111
216	11111101111
216	11111111111
216	11111101111
216	11110111111
216	11111111111
216	11111111111
216	11111111111
